HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Port
1,0,0,39.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0
0,0,0,24.0,0,109.0,9.0,25.0,549.0,44.0,True,1,1
1,0,0,58.0,1,43.0,3576.0,0.0,6715.0,49.0,False,2,1
1,0,0,33.0,0,0.0,1283.0,371.0,3329.0,193.0,False,2,1
0,0,0,16.0,0,303.0,70.0,151.0,565.0,2.0,True,1,1
0,0,1,44.0,0,0.0,483.0,0.0,291.0,0.0,True,1,0
0,0,0,26.0,0,42.0,1539.0,3.0,0.0,0.0,True,1,1
0,1,0,28.0,0,0.0,0.0,0.0,0.0,304.8547912992357,True,3,1
0,0,0,35.0,0,0.0,785.0,17.0,216.0,0.0,True,1,1
1,1,2,14.0,0,0.0,0.0,0.0,0.0,0.0,True,0,0
1,1,0,34.0,0,0.0,0.0,173.72916912197996,0.0,0.0,True,0,0
1,0,2,45.0,0,39.0,7295.0,589.0,110.0,124.0,True,0,0
2,0,0,32.0,0,73.0,0.0,1123.0,0.0,113.0,True,1,0
0,0,0,48.0,0,719.0,1.0,65.0,0.0,24.0,False,3,1
0,0,0,28.0,0,8.0,974.0,12.0,2.0,7.0,True,1,0
0,0,0,31.0,0,32.0,0.0,876.0,0.0,0.0,False,3,1
2,0,2,27.0,0,1286.0,122.0,173.72916912197996,0.0,0.0,False,1,0
0,0,2,24.0,0,0.0,1.0,0.0,0.0,637.0,False,1,0
2,1,0,45.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0
0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0
0,0,2,14.0,0,412.0,0.0,1.0,0.0,679.0,False,1,0
0,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,False,4,1
0,1,2,49.0,0,0.0,0.0,0.0,0.0,0.0,False,4,1
0,1,2,29.0,0,0.0,0.0,173.72916912197996,0.0,0.0,False,4,1
0,0,0,10.0,0,0.0,0.0,0.0,0.0,0.0,True,4,1
0,1,1,1.0,0,224.687617481203,0.0,0.0,0.0,0.0,False,4,1
0,0,0,7.0,0,0.0,0.0,0.0,0.0,0.0,False,4,1
2,0,0,21.0,0,980.0,2.0,69.0,0.0,0.0,False,5,0
1,1,0,62.0,0,0.0,0.0,173.72916912197996,0.0,0.0,True,6,1
0,0,0,15.0,0,0.0,225.0,0.0,998.0,0.0,False,1,1
1,0,2,34.0,0,22.0,6073.0,0.0,1438.0,328.0,False,6,0
2,0,0,43.0,0,1125.0,0.0,136.0,48.0,0.0,False,1,0
0,0,0,32.0,0,0.0,850.0,81.0,437.0,453.0,False,3,1
2,0,0,47.0,0,214.0,0.0,1411.0,0.0,1229.0,True,1,0
2,0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0
2,0,0,20.0,0,224.687617481203,0.0,1750.0,990.0,0.0,True,1,0
1,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,True,5,1
2,0,2,23.0,0,784.0,964.0,0.0,951.0,0.0,False,5,0
0,0,2,15.0,0,0.0,492.0,48.0,20.0,401.0,False,1,1
0,0,2,20.0,0,554.0,195.0,0.0,2606.0,0.0,False,1,1
0,1,2,30.0,0,0.0,0.0,173.72916912197996,0.0,0.0,False,3,0
0,1,0,17.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0
1,0,0,45.0,0,0.0,164.0,45.0,2511.0,855.0,False,0,0
0,1,0,55.0,0,0.0,0.0,0.0,0.0,0.0,False,3,0
0,1,2,4.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0
0,1,1,21.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0
2,0,0,21.0,0,970.0,0.0,180.0,0.0,64.0,False,1,0
2,1,0,19.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0
0,0,2,35.0,0,790.0,0.0,0.0,311.1387779083431,0.0,False,4,1
0,0,0,56.0,0,0.0,112.0,0.0,1379.0,127.0,False,4,1
0,0,0,28.82793046746535,0,4.0,0.0,2.0,4683.0,0.0,False,3,1
0,0,0,25.0,0,0.0,0.0,1938.0,0.0,1.0,True,1,1
1,0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,2,1
1,1,0,38.0,0,0.0,0.0,0.0,0.0,0.0,True,2,1
1,0,0,27.0,0,279.0,605.0,3374.0,286.0,3.0,True,2,1
0,1,1,36.0,0,0.0,0.0,0.0,0.0,0.0,False,3,1
0,0,0,22.0,0,45.0,1096.0,148.0,1377.0,1.0,False,1,1
0,0,0,62.0,0,0.0,592.0,0.0,17.0,25.0,False,1,1
2,1,0,15.0,0,0.0,0.0,0.0,0.0,0.0,True,1,1
0,1,0,33.0,0,0.0,0.0,173.72916912197996,0.0,0.0,True,4,1
0,0,0,62.0,0,1.0,153.0,197.0,0.0,460.0,False,3,0
0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,True,3,1
0,0,0,18.0,0,1.0,258.0,446.0,0.0,0.0,True,3,1
0,0,2,21.0,0,1946.0,37.0,0.0,0.0,24.0,False,1,1
2,0,0,28.82793046746535,0,793.0,0.0,2.0,253.0,0.0,False,4,1
0,0,0,42.0,0,887.0,0.0,9.0,6.0,0.0,True,1,1
0,0,0,19.0,0,190.0,0.0,5.0,1.0,726.0,False,1,0
0,0,0,17.0,0,16.0,2165.0,0.0,0.0,52.0,False,1,0
0,0,0,14.0,0,0.0,1.0,0.0,0.0,1063.0,False,1,1
2,0,1,37.0,0,46.0,83.0,738.0,0.0,12.0,False,5,0
1,0,0,42.0,0,1.0,8397.0,0.0,0.0,506.0,True,6,1
2,0,0,27.0,0,147.0,0.0,1018.0,0.0,0.0,True,1,1
2,0,0,28.0,0,14.0,0.0,1295.0,0.0,0.0,True,1,0
1,0,0,38.0,0,0.0,5840.0,0.0,321.0,9654.0,False,6,1
0,1,0,13.0,0,0.0,0.0,0.0,0.0,0.0,False,3,1
2,0,0,42.0,0,7406.0,0.0,0.0,0.0,0.0,False,1,0
2,1,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0
2,0,0,8.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0
